internal_barcode,longname,sex,from_nest,which_nest,state,county,year,date,site,fl_genus,fl_species,cluster,latitude,longitude,n,btern01_1,btern01_2,bt28_1,bt28_2,b96_1,b96_2,bt30_1,bt30_2,btms0081_1,btms0081_2,btms0066_1,btms0066_2,btms0083_1,btms0083_2,b126_1,b126_2,btms0062_1,btms0062_2,btern02_1,btern02_2,btms0086_1,btms0086_2,bl13_1,bl13_2,btms0059_1,btms0059_2,loci_w_data,family_index,occur,family_id
BAFF442,jmk-29jul21-03,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,114,118,180,186,193,193,238,240,304,308,150,156,306,336,167,181,248,250,189,195,267,279,185,185,352,356,13,7,FALSE,7
BAFF444,jmk-29jul21-05,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,114,180,180,193,193,238,240,304,308,150,156,306,356,167,181,248,250,185,199,267,279,185,185,352,356,13,7,FALSE,7
BAFF466,jmk-29jul21-27,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,114,180,180,193,193,238,240,304,308,141,156,306,336,167,181,248,250,189,195,267,279,185,185,352,356,13,7,FALSE,7
BAFF445,jmk-29jul21-06,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,116,186,192,193,193,232,244,300,304,138,150,304,342,169,177,248,260,183,185,267,267,185,185,352,356,13,8,FALSE,8
BAFF446,jmk-29jul21-07,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,180,192,191,191,232,244,300,304,138,150,304,342,169,177,254,260,187,201,267,267,185,185,356,356,13,8,FALSE,8
BAFF454,jmk-29jul21-15,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,NA,NA,191,191,232,236,300,304,138,150,304,342,177,177,254,260,183,187,267,267,185,185,352,356,12,8,FALSE,8
BAFF455,jmk-29jul21-16,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,180,192,191,193,232,236,300,304,138,150,300,342,177,177,248,260,187,201,267,267,185,185,352,356,13,8,FALSE,8
BAFF461,jmk-29jul21-22,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,186,192,191,191,232,244,300,304,138,150,304,342,169,177,254,260,183,185,267,267,185,185,352,356,13,8,FALSE,8
BAFF473,jmk-29jul21-34,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Eryngium,yuccifolium,50,42.7138146,-88.6258426,45,110,110,186,192,191,193,232,244,300,304,138,150,304,342,169,177,248,260,183,183,267,267,185,185,352,356,13,8,FALSE,8
BAFF478,jmk-29jul21-39,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,180,192,179,193,232,244,300,304,138,150,300,342,169,177,254,260,185,201,267,267,185,185,356,356,13,8,FALSE,8
BAFF447,jmk-29jul21-08,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,108,180,186,193,193,242,242,308,308,135,141,306,342,165,165,244,256,183,205,267,267,185,185,344,356,13,9,FALSE,9
BAFF457,jmk-29jul21-18,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,108,186,186,193,193,229,242,304,308,135,153,298,306,165,177,244,266,179,199,267,267,185,185,352,360,13,9,FALSE,9
BAFF449,jmk-29jul21-10,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,112,186,192,191,191,236,257,300,304,138,141,300,356,181,205,264,266,185,185,267,267,185,185,344,356,13,11,TRUE,s
BAFF450,jmk-29jul21-11,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,114,114,186,186,193,193,240,244,304,308,150,177,338,346,165,165,260,306,191,199,267,267,173,185,348,352,13,12,TRUE,s
BAFF453,jmk-29jul21-14,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,106,186,186,191,191,238,242,300,304,141,141,340,356,165,177,258,258,181,187,267,267,185,185,352,352,13,14,TRUE,s
BAFF458,jmk-29jul21-19,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,114,186,192,191,193,232,244,304,304,141,141,300,348,171,173,264,282,189,209,267,267,185,185,352,356,13,16,TRUE,s
BAFF460,jmk-29jul21-21,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,186,186,193,193,229,240,304,308,129,156,300,344,173,177,264,310,195,209,267,267,185,185,348,356,13,17,TRUE,s
BAFF462,jmk-29jul21-23,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,112,116,186,192,193,193,232,244,304,304,150,153,350,354,165,171,268,296,183,189,267,267,173,185,356,356,13,18,FALSE,18
BAFF464,jmk-29jul21-25,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,112,114,186,192,193,193,232,242,304,304,126,150,350,354,165,171,268,296,183,187,267,267,173,185,344,356,13,18,FALSE,18
BAFF463,jmk-29jul21-24,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,116,116,180,180,193,193,236,236,304,304,138,138,304,304,177,177,248,248,183,185,267,267,185,185,352,352,13,19,TRUE,s
BAFF467,jmk-29jul21-28,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,112,192,192,193,193,240,242,300,304,141,150,306,306,165,187,248,252,185,201,267,267,185,185,340,352,13,21,TRUE,s
BAFF471,jmk-29jul21-32,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,114,114,180,186,191,193,232,236,308,308,141,150,336,344,167,173,266,286,187,195,267,267,185,185,356,356,13,22,FALSE,22
BAFF474,jmk-29jul21-35,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,114,114,186,186,193,193,232,236,300,308,138,141,304,336,173,187,262,266,189,209,267,267,185,185,348,356,13,22,FALSE,22
BAFF472,jmk-29jul21-33,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Eryngium,yuccifolium,50,42.7138146,-88.6258426,45,108,108,180,186,191,193,232,236,304,304,129,150,318,346,165,165,258,296,191,195,267,267,185,185,348,352,13,23,TRUE,s
BAFF475,jmk-29jul21-36,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,112,180,186,191,191,240,240,304,304,141,150,342,344,165,189,262,268,191,191,267,267,185,185,356,360,13,24,TRUE,s
BAFF476,jmk-29jul21-37,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,114,186,198,193,193,238,238,304,304,129,150,298,300,165,165,262,288,167,213,267,267,185,189,336,356,13,25,TRUE,s
BAFF477,jmk-29jul21-38,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,114,186,186,191,191,232,242,304,308,126,147,300,322,167,167,264,264,183,199,267,279,185,185,356,360,13,26,TRUE,s
BAFF448,jmk-29jul21-09,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,114,186,186,188,193,232,240,304,304,123,138,300,304,165,167,286,288,205,205,279,279,185,185,344,352,13,1024,TRUE,s
BAFF451,jmk-29jul21-12,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,108,186,186,191,193,240,242,308,308,126,129,300,306,165,193,268,292,197,197,267,267,185,189,352,356,13,1027,TRUE,s
BAFF456,jmk-29jul21-17,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,110,186,186,193,193,236,240,304,308,126,129,306,344,165,165,244,286,191,199,267,267,173,185,356,356,13,1029,TRUE,s
BAFF465,jmk-29jul21-26,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,116,186,186,188,193,236,240,304,304,123,150,304,336,165,177,248,266,201,201,267,279,185,185,352,356,13,1035,TRUE,s
